name,gender,medal_type,discipline,age
SAMUKONGA Muzala,Male,Bronze Medal,Athletics,22
STONA Roje,Male,Gold Medal,Athletics,25
ALEKNA Mykolas,Male,Silver Medal,Athletics,22
DENNY Matthew,Male,Bronze Medal,Athletics,28
KENNEDY Nina,Female,Gold Medal,Athletics,27
MOON Katie,Female,Silver Medal,Athletics,33
NEWMAN Alysha,Female,Bronze Medal,Athletics,30
TIAFACK Nelvie Raman,Male,Bronze Medal,Boxing,25
ABOUDOU MOINDZE Djamili-Dini,Male,Bronze Medal,Boxing,28
ALVAREZ BORGES Erislandy,Male,Gold Medal,Boxing,24
OUMIHA Sofiane,Male,Silver Medal,Boxing,30
KHYZHNIAK Oleksandr,Male,Gold Medal,Boxing,29
ORALBAY Nurbek,Male,Silver Medal,Boxing,24
YILDIZ KAHRAMAN Esra,Female,Bronze Medal,Boxing,27
PETECIO Nesthy,Female,Bronze Medal,Boxing,32
WEARN Matt,Male,Gold Medal,Sailing,29
KONTIDES Pavlos,Male,Silver Medal,Sailing,34
PESCHIERA Stefano,Male,Bronze Medal,Sailing,29
BOUWMEESTER Marit,Female,Gold Medal,Sailing,36
RINDOM Anne-Marie,Female,Silver Medal,Sailing,33
HOEST Line Flem,Female,Bronze Medal,Sailing,29
